title_normalized,company,rating,pay_percentile50,skill,years_of_experience,size,sector,industry,company_type,revenue,yearFounded,date_posted,doctoral,master,bachelor,associate,highschool_ged,years_since_founded,at_heartquartes
Data Scientist,"Davidson Technologies, Inc.",4.2,150000,"['Computer science', 'MATLAB', 'Data mining', 'Big data', 'R', 'Java', 'SQL', 'C++', 'Machine learning', 'Predictive analytics', 'Data science', 'AI', 'Python', 'Analytics']",2,3,Manufacturing,Transportation Equipment Manufacturing,Company - Private,$25 to $50 million (USD),1996,"Nov 14, 2021",1,1,1,0,0,26,1
Senior Data Scientist,The Boeing Company,3.8,178000,"['Azure', 'Writing skills', 'R', 'Google Cloud Platform', 'Tableau', 'SQL', 'Statistical analysis', 'Database management', 'Presentation skills', 'Machine learning', 'Teradata', 'Python', 'Analytics']",3,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1916,"Feb 13, 2022",1,1,1,0,0,106,0
Senior Data Analyst,ITAC Solutions,4.1,80173,"['Microsoft Excel', 'Salesforce', 'Microsoft SQL Server', 'Tableau', 'SQL Server Management Studio', 'Scripting', 'Communication skills', 'T-SQL']",4,3,Business Services,Staffing & Outsourcing,Company - Private,Unknown / Non-Applicable,2000,"Jan 20, 2022",0,0,1,0,0,22,1
Senior Machine Learning Engineer,"CyberCoders, Inc.",4.1,137500,"['Machine learning', 'Data collection', 'AI']",5,3,Business Services,Staffing & Outsourcing,Subsidiary or Business Segment,$100 to $500 million (USD),1999,"Feb 12, 2022",0,0,0,0,0,23,0
Data Scientist,"PayPal, Inc.",4.1,116130,"['Data structures', 'R', 'Data analysis skills', 'Apache Hive', 'Research', 'SQL', 'Analysis skills', 'Machine learning', 'Risk management', 'Fraud', 'Communication skills', 'Data warehouse', 'Python', 'Time management', 'Hadoop']",0,7,Information Technology,Internet,Company - Public,$10+ billion (USD),1998,"Feb 09, 2022",0,0,1,0,0,24,0
Data Scientist,COLSA Corporation,4.4,110649,"['TensorFlow', 'CI/CD', 'Data structures', 'C#', 'Machine learning', 'Algorithm design', 'Natural language processing', 'Data science', 'AI', 'Communication skills', 'Python']",0,5,Business Services,Research & Development,Company - Private,$100 to $500 million (USD),1980,"Feb 15, 2022",0,0,1,0,0,42,1
Data Scientist,Regions Financial Corporation,3.5,61106,"['TensorFlow', 'MATLAB', 'Data mining', 'SAS', 'Relational databases', 'Big data', 'Spark', 'R', 'Tableau', 'Java', 'SQL', 'Machine learning', 'Scala', 'Deep learning', 'Ruby', 'Software development', 'Agile', 'Predictive analytics', 'Financial services', 'AI', 'Google Analytics', 'SPSS', 'Communication skills', 'Banking', 'Python', 'Hadoop']",1,7,Finance,Banks & Credit Unions,Company - Public,$5 to $10 billion (USD),1971,"Jan 24, 2022",0,1,1,0,0,51,1
Data Scientist,Booz Allen Hamilton Inc.,4.2,87253,"['TensorFlow', 'Data mining', 'Spark', 'R', 'NoSQL', 'Tableau', 'Java', 'Analysis skills', 'Docker', 'Machine learning', 'Splunk', 'Software development', 'IT', 'Fraud', 'Python', 'Analytics', 'Hadoop']",2,7,Business Services,Consulting,Company - Public,$5 to $10 billion (USD),1914,"Jun 15, 2021",0,1,1,0,0,108,0
Data Scientist,Management Solutions,3.8,83401,"['MATLAB', 'Data mining', 'SAS', 'R', 'Apache Hive', 'Predictive analytics', 'Computer skills', 'Data science', 'Python', 'Hadoop']",0,5,Business Services,Consulting,Company - Private,$100 to $500 million (USD),2002,"Feb 14, 2019",0,0,0,0,0,20,0
Data Scientist,Protective Life Corporation,3.6,95325,"['Microsoft Powerpoint', 'Image processing', 'Data mining', 'SAS', 'Relational databases', 'Big data', 'R', 'Databases', 'SQL', 'Machine learning', 'Predictive analytics', 'Communication skills', 'Python', 'Analytics', 'Hadoop']",0.5,5,Insurance,Insurance Carriers,Company - Private,$5 to $10 billion (USD),1907,"Dec 15, 2021",1,1,1,0,0,115,1
Data Analyst,Shipt,4,60712,"['Relational databases', 'Tableau', 'SQL', 'Digital marketing', 'Root cause analysis', 'Google Ads', 'Google Analytics']",2,5,Consumer Services,Consumer Product Rental,Subsidiary or Business Segment,Unknown / Non-Applicable,2014,"Nov 22, 2021",0,0,0,0,0,8,1
Senior Data Scientist,Shipt,4,125386,"['R', 'E-commerce', 'SQL', 'Machine learning', 'Attribution modeling', 'Predictive analytics', 'Python']",5,5,Consumer Services,Consumer Product Rental,Subsidiary or Business Segment,Unknown / Non-Applicable,2014,"Sep 20, 2021",0,0,1,0,0,8,1
Senior Data Scientist,PwC,3.9,98868,"['CI/CD', 'Azure', 'DevOps', 'Google Cloud Platform', 'AWS', 'Machine learning', 'Natural language processing', 'Predictive analytics', 'Python']",3,7,Business Services,Consulting,Company - Private,$5 to $10 billion (USD),1998,"Feb 09, 2022",1,1,1,0,0,24,0
Junior Machine Learning Engineer,Archarithms,3.7,74960,"['TensorFlow', 'Java', 'C++', 'Machine learning', 'Ubuntu', 'Linux', 'AI', 'Python']",2,2,Aerospace & Defense,Aerospace & Defense,Company - Private,$1 to $5 million (USD),2012,"Jan 26, 2022",0,0,1,0,0,10,1
Data Analyst,"Davidson Technologies, Inc.",4.2,91578,"['TensorFlow', 'Machine learning', 'Root cause analysis', 'Sensors', 'Python']",10,3,Manufacturing,Transportation Equipment Manufacturing,Company - Private,$25 to $50 million (USD),1996,"Nov 24, 2021",1,1,0,0,0,26,1
Data Scientist,ManTech International Corporation,4.2,93359,"['Relational databases', 'Databases', 'SQL', 'Machine learning', 'Distributed systems', 'Regression analysis', 'Hadoop']",4,6,Business Services,Research & Development,Company - Public,$1 to $2 billion (USD),1968,"Jan 24, 2022",0,0,1,0,0,54,0
Machine Learning Engineer,Torch Technologies,4.6,94668,['AI'],0,5,Aerospace & Defense,Aerospace & Defense,Company - Private,$500 million to $1 billion (USD),2002,"Dec 07, 2021",0,1,1,0,0,20,1
Principal Systems Engineer,Northrop Grumman Corporation,4,139500,"['Data mining', 'Machine learning', 'Data visualization', 'AI']",0,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1939,"Feb 02, 2022",1,1,1,0,0,83,0
Principal Software Engineer,Northrop Grumman Corporation,4,139500,"['Data mining', 'Machine learning', 'Data visualization', 'AI']",0,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1939,"Feb 02, 2022",1,1,1,0,0,83,0
Machine Learning Engineer,The Boeing Company,3.8,119685,"['Jira', 'TensorFlow', 'Computer science', 'MATLAB', 'Software deployment', 'Data structures', 'R', 'Git', 'Java', 'C++', 'Docker', 'C', 'Machine learning', 'Software development', 'Agile', 'Linux', 'Data science', 'Training & development', 'AI', 'Research & development', 'Python', 'SDLC']",1,7,Aerospace & Defense,Aerospace & Defense,Company - Public,$10+ billion (USD),1916,"Feb 07, 2022",1,1,0,0,0,106,0
Full Stack Engineer,TuSimple Technology Co. Ltd ,4.2,83971,"['Computer science', 'Oracle', 'Node.js', 'React', 'Tableau', 'Qualtrics', 'AWS', 'C++', 'JavaScript', 'Splunk', 'New Relic', 'Sailpoint', 'Smartsheet', 'Django', 'Marketing automation', 'APIs', 'ServiceNow', 'AI', 'TypeScript', 'Python', 'NGINX', 'Computer graphics']",0,3,Information Technology,Computer Hardware & Software,Company - Public,Unknown / Non-Applicable,2015,"Mar 23, 2021",0,1,1,0,0,7,0
Analyst,Pearson plc,3.7,49032,"['Live chat', 'Salesforce', 'Machine learning', 'Product management', 'Natural language processing', 'Experimental design', 'Customer support', 'AI']",1,7,Media,Publishing,Company - Public,$5 to $10 billion (USD),1844,"Jan 19, 2022",0,1,1,0,0,178,0
Senior Data Analyst,Hexagon AB,3.9,74301,"['Data modeling', 'XML', 'SQL', 'Agile', 'JSON', 'Metadata', 'PL/SQL', 'T-SQL']",2,5,Information Technology,Computer Hardware & Software,Company - Public,$500 million to $1 billion (USD),1992,"Jan 28, 2022",0,0,0,0,0,30,0
Data Scientist,Recruiting from Scratch,4.9,91843,"['TensorFlow', 'Go', 'C++', 'Contracts', 'AI', 'Communication skills', 'Python']",5,1,Business Services,Staffing & Outsourcing,Company - Private,$1 to $5 million (USD),2019,"Nov 01, 2021",1,1,1,0,0,3,0
Statistician,Office of the Governor of State of Alabama,3.3,43726,['Math'],1,7,Government,State & Regional Agencies,Government,Unknown / Non-Applicable,1996,"Feb 09, 2022",0,1,1,0,0,26,1
Machine Learning Engineer,IERUS Technologies Inc,4.6,80035,"['MATLAB', 'Signal processing', 'Electrical engineering', 'Fortran', 'Analysis skills', 'C++', 'Machine learning', 'Algorithm design', 'Systems analysis', 'AI', 'Python']",0,2,Aerospace & Defense,Aerospace & Defense,Company - Private,$25 to $50 million (USD),2010,"Jan 03, 2022",1,1,1,0,0,12,1
